manufacturerNorm,modelStem,modelNumber,name,vendor,vendorNorm,vendorCost,vendorSku,isPrimarySuggested,distinctPricesForVendorKey,priceMin,priceMax,rowsInVendorKey,confidence,sourceWorkbook,sourceSheet,sourceRow
moen,UT36111ORB,UT36111ORB,Shower Double Handle Trim,Ferguson,ferguson,404.75,UT36111ORB,true,1,404.75,404.75,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,260 | 225 | 208 | 205 | 143
moen,YB5103ORB,YB5103ORB,Voss Robe Hooks -2,Ferguson,ferguson,96.95,YB5103ORB,true,1,96.95,96.95,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,267 | 251 | 215 | 228 | 160
moen,YB5108ORB,YB5108ORB,Voss Toilet Paper Holder,Ferguson,ferguson,57.08,YB5108ORB,true,1,57.08,57.08,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,268 | 253 | 216 | 230 | 162
moen,YB5124ORB,YB5124ORB,"Voss 24"" Towel Bar 2",Ferguson,ferguson,145.95,YB5124ORB,true,1,145.95,145.95,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,269 | 250 | 217 | 227 | 159
moen,YB5186ORB,YB5186ORB,Voss Towel Ring -2,Ferguson,ferguson,95.70,YB5186ORB,true,1,95.7,95.7,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,270 | 252 | 218 | 229 | 161
moen,YG0418BN,YG0418BN,"Grab Bar 18"" Vertical",Ferguson,ferguson,144.19,YG0418BN,true,1,144.19,144.19,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Sheet1,18 | 35 | 271 | 14 | 219 | 19 | 20
moen,YG0436BN,YG0436BN,"Grab Bar 36"" Hortizal",Ferguson,ferguson,188.88,YG0436BN,true,1,188.88,188.88,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Sheet1,19 | 36 | 272 | 15 | 220 | 20 | 21
panasonic,BLMC2432,BLMC2432,100 CFM Sone Ceiling Mounted HVI Certified Exhaust Fan,Ferguson,ferguson,92.00,BLMC2432,true,1,92.0,92.0,1,high,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,9
panasonic,C1466,C1466,Exhaust Fan FV-0510VSL1 Service Plus per Lo,Ferguson,ferguson,0.00,C1466,true,1,0.0,0.0,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,85 | 74 | 570
panasonic,FV0510VS1,FV-0510VS1,100 CFM Sone Ceiling Mounted HVI Certified Exhaust Fan,Ferguson,ferguson,101.88,FV-0510VS1,true,1,101.88,101.88,1,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Product Occurrences,9 | 44 | 102 | 103 | 104 | 21 | 58 | 106 | 146 | 221 | 282 | 76 | 5 | 47 | 176 | 244 | 309
panasonic,FV0510VSL1,FV-0510VSL1,(1) Bath Exhusted Fan w/Light,Ferguson (Web),ferguson (web),163.05,FV-0510VSL1,true,1,163.05,163.05,1,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences,105 | 106 | 107 | 108 | 91 | 97 | 124 | 222 | 274 | 77 | 78 | 14 | 102 | 163 | 203
panasonic,FV0511VKS3S,FV-0511VKS3S,Exhaust Fan,Ferguson Home,ferguson home,248.60,FV-0511VKS3S,true,1,248.6,248.6,1,high,,John Daye 39938-CJC,20
panasonic,FV0511VKSL3,FV-0511VKSL3,Water Closet Exhaust Fan w/light,Ferguson Home,ferguson home,300.88,FV-0511VKSL3,true,1,300.88,300.88,1,high,,John Daye 39938-CJC,21 | 57
ruvati,RVH8350,RVH8350,Kitchen Kitchen Sink 600 Final,Ferguson,ferguson,0.00,RVH8350,true,1,0.0,0.0,1,high,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,28
ruvati,RVM4350,RVM4350,Sink 500,Ferguson,ferguson,319.03,RVM4350,true,1,319.03,319.03,1,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,123 | 97
toto,MS776124CSFG,MS776124CSFG,Toliets (3) Toilets - 3 /Seat Included $ 3 PC,Ferguson,ferguson,0.00,MS776124CSFG,true,1,0.0,0.0,1,high,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,102
